013000,014E86,01671B	013000,0177AD,01671B
013000,0165B9,01624D	013000,0165B9,017E94
013000,018C61	013000,0150CF
013000,018C61,017259	013000,018C61,017259
013000,018C61,015F62	013000,018C61,015F62
013000,018C61,015F81	013000,018C61,015FB5
013000,018C61,015F81,01670D	013000,0150CF,015F81,01670D
013000,018C61,015F81,016230	013000,0150CF,015F81,016230
013000,018C61,015F81,016230,01722D	013000,018C61,015FB5,016230,01722D
013000,018C61,019650	013000,018C61,019650
013000,018C61,0168CB	013000,018C61,0168CB
013000,018C61,019F3B	013000,018C61,019F3B
013000,018C61,015FB5	013000,018C61,015FB5
01FF01,0151C6,01FF01	01FF01,016E96,01FF01
01FF01,016069,01FF0C	01FF01,0155EF,01FF0C
01FF01,016069,013002	01FF01,0155EF,013002
01FF01,016069,012026	01FF01,0155EF,012026
01FF01,018C61	01FF01,0150CF
01FF01,018C61,017259	01FF01,018C61,017259
01FF01,018C61,015F62	01FF01,018C61,015F62
01FF01,018C61,015F81	01FF01,018C61,015FB5
01FF01,018C61,015F81,01670D	01FF01,0150CF,015F81,01670D
01FF01,018C61,015F81,016230	01FF01,0150CF,015F81,016230
01FF01,018C61,015F81,016230,01722D	01FF01,018C61,015FB5,016230,01722D
01FF01,018C61,01677F	01FF01,018C61,01677F
01FF01,018C61,019650	01FF01,018C61,019650
01FF01,018C61,0168CB	01FF01,018C61,0168CB
01FF01,018C61,019F3B	01FF01,018C61,019F3B
01FF01,018C61,015FB5	01FF01,018C61,015FB5
01FF01,018C61,018072	01FF01,018C61,018072
01FF0C,014E86,01671B	01FF0C,0177AD,01671B
01FF0C,016597,014E86	01FF0C,019B25,014E86
01FF0C,016597,014E86,0181BD	01FF0C,016597,014E86,0181BD
01FF0C,01601D,01FF0C	01FF0C,0155EF,01FF0C
01FF0C,0151C6,0153EB	01FF0C,016E96,0153EB
01FF0C,0151C6,016709	01FF0C,016E96,016709
01FF0C,0151C6,01628A	01FF0C,016E96,01628A
01FF0C,0151C6,018981	01FF0C,016E96,018981
01FF0C,015F91	01FF0C,019015
01FF0C,015F91,016597	01FF0C,015F91,019B25
01FF0C,015F91,016280	01FF0C,015F91,016280
01FF0C,015F91,019577	01FF0C,015F91,019577
01FF0C,015F91,017C97	01FF0C,015F91,017C97
01FF0C,015F91,018F03	01FF0C,015F91,018F03
01FF0C,015F91,018CFD	01FF0C,015F91,018CFD
01FF0C,015F91,0195CA	01FF0C,015F91,0195CA
01FF0C,016069,01FF0C	01FF0C,0155EF,01FF0C
01FF0C,016069,012026	01FF0C,0155EF,012026
01FF0C,018C61	01FF0C,0150CF
01FF0C,018C61,017259	01FF0C,018C61,017259
01FF0C,018C61,015F62	01FF0C,018C61,015F62
01FF0C,018C61,015F81	01FF0C,018C61,015FB5
01FF0C,018C61,015F81,01670D	01FF0C,0150CF,015F81,01670D
01FF0C,018C61,015F81,016230	01FF0C,0150CF,015F81,016230
01FF0C,018C61,015F81,016230,01722D	01FF0C,018C61,015FB5,016230,01722D
01FF0C,018C61,01677F	01FF0C,018C61,01677F
01FF0C,018C61,019650	01FF0C,018C61,019650
01FF0C,018C61,0168CB	01FF0C,018C61,0168CB
01FF0C,018C61,019F3B	01FF0C,018C61,019F3B
01FF0C,018C61,015FB5	01FF0C,018C61,015FB5
01FF0C,018C61,018072	01FF0C,018C61,018072
01FF0C,018AAA,014E0D,0151C6	01FF0C,018AAA,014E0D,016E96
013001,0153C8,0151C6	013001,0153C8,016E96
013001,0151C6,013001	013001,016E96,013001
013002,014E86,01671B	013002,0177AD,01671B
013002,01601D,01FF0C	013002,0155EF,01FF0C
013002,016069,01FF0C	013002,0155EF,01FF0C
013002,016069,012026	013002,0155EF,012026
013002,018C61	013002,0150CF
013002,018C61,017259	013002,018C61,017259
013002,018C61,015F62	013002,018C61,015F62
013002,018C61,015F81	013002,018C61,015FB5
013002,018C61,015F81,01670D	013002,0150CF,015F81,01670D
013002,018C61,015F81,016230	013002,0150CF,015F81,016230
013002,018C61,015F81,016230,01722D	013002,018C61,015FB5,016230,01722D
013002,018C61,01677F	013002,018C61,01677F
013002,018C61,019650	013002,018C61,019650
013002,018C61,0168CB	013002,018C61,0168CB
013002,018C61,019F3B	013002,018C61,019F3B
013002,018C61,015FB5	013002,018C61,015FB5
013002,018C61,018072	013002,018C61,018072
01FF1F,016069,01FF0C	01FF1F,0155EF,01FF0C
01FF1F,016069,013002	01FF1F,0155EF,013002
01FF1F,016069,012026	01FF1F,0155EF,012026
01FF1F,018C61	01FF1F,0150CF
01FF1F,018C61,017259	01FF1F,018C61,017259
01FF1F,018C61,015F62	01FF1F,018C61,015F62
01FF1F,018C61,015F81	01FF1F,018C61,015FB5
01FF1F,018C61,015F81,01670D	01FF1F,0150CF,015F81,01670D
01FF1F,018C61,015F81,016230	01FF1F,0150CF,015F81,016230
01FF1F,018C61,015F81,016230,01722D	01FF1F,018C61,015FB5,016230,01722D
01FF1F,018C61,01677F	01FF1F,018C61,01677F
01FF1F,018C61,019650	01FF1F,018C61,019650
01FF1F,018C61,0168CB	01FF1F,018C61,0168CB
01FF1F,018C61,019F3B	01FF1F,018C61,019F3B
01FF1F,018C61,015FB5	01FF1F,018C61,015FB5
01FF1F,018C61,018072	01FF1F,018C61,018072
012018	01300E
012019	01300F
01201C	01300C
01201C,014E01,017576	01300C,0153EE,015679
01201C,0165B9,01624D	01300C,0165B9,017E94
01201C,016069,01FF01	01300C,0155EF,01FF01
01201C,016069,01FF0C	01300C,0155EF,01FF0C
01201C,016069,013002	01300C,0155EF,013002
