#source http://tongwen.openfoundry.org/src/tongwen_table/phrase_s2t.txt
0141,01300F	0141,0127
0142,01300F	0142,0127
0143,01300F	0143,0127
0144,01300F	0144,0127
0145,01300F	0145,0127
0146,01300F	0146,0127
0147,01300F	0147,0127
0148,01300F	0148,0127
0149,01300F	0149,0127
014A,01300F	014A,0127
014B,01300F	014B,0127
014C,01300F	014C,0127
014D,01300F	014D,0127
014E,01300F	014E,0127
014F,01300F	014F,0127
0150,01300F	0150,0127
0151,01300F	0151,0127
0152,01300F	0152,0127
0153,01300F	0153,0127
0154,01300F	0154,0127
0155,01300F	0155,0127
0156,01300F	0156,0127
0157,01300F	0157,0127
0158,01300F	0158,0127
0159,01300F	0159,0127
015A,01300F	015A,0127
0161,01300F	0161,0127
0162,01300F	0162,0127
0163,01300F	0163,0127
0164,01300F	0164,0127
0165,01300F	0165,0127
0166,01300F	0166,0127
0167,01300F	0167,0127
0168,01300F	0168,0127
0169,01300F	0169,0127
016A,01300F	016A,0127
016B,01300F	016B,0127
016C,01300F	016C,0127
016D,01300F	016D,0127
016E,01300F	016E,0127
016F,01300F	016F,0127
0170,01300F	0170,0127
0171,01300F	0171,0127
0172,01300F	0172,0127
0173,01300F	0173,0127
0174,01300F	0174,0127
0175,01300F	0175,0127
0176,01300F	0176,0127
0177,01300F	0177,0127
0178,01300F	0178,0127
0179,01300F	0179,0127
017A,01300F	017A,0127
01300C,016069	01300C,0155EF
01300C,016069,01FF01	01300C,0155EF,01FF01
014E00,01500B	014E00,01500B
014E00,016A39,01767E,017372	014E00,016A39,01767E,017A6B
014E01,019234	0153EE,019234
014E09,01500B	014E09,01500B
014E09,015929	014E09,015929
014E0B,0164FA	014E0B,01896C
014E0D,014FEE,017BC7,015E45	014E0D,014FEE,01908A,015E45
014E0D,01503C,014E00,0166EC	014E0D,01503C,014E00,0154C2
014E2D,014F96	014E2D,015D19
014E8C,01500B	014E8C,01500B
014E94,015929	014E94,015929
014E94,019AD2	014E94,0181DF
014ECB,0180C4	014ECB,015191
014F3A,015949	014F8D,015949
014F4E,018FE5	014F4E,018FF4
014F5C,015D07	014F5C,01795F
014F69,0174B0	0173EE,0174B0
014F69,0198FE	0173EE,0198FE
014F73,0180B4	014F73,01991A
014F96,0180CC	015D19,0180CC
014FE1,017DD8	014FE1,017B8B
014FEE,016D5A	014FEE,016FEC
01508D,015FA8	015FAC,015FA8
0150AD,0191D1	014F63,0191D1
0150AD,019322	014F63,019322
0150BE,01523B	019803,01523B
0150E5,0160BB	0150E5,015016
015106,016548	015106,01509A
015109,016734	015109,016A38
015112,015B50,0153EF,016559	015B7A,015B50,0153EF,016559
015167,019AD2	015167,0181DF
015169,01500B,014E2D	015169,01500B,014E2D
015169,015929	015169,015929
015171,015FA1	015171,0179A6
0151DC,015217	0151DC,016D0C
015206,019053,0163DA,0193E2	015206,019053,0163DA,019463
015206,0191CF	014EFD,0191CF
015269,0180B4	015269,01991A
01526A,019664	017FE6,019664
01529F,018667,014E00,015331	01529F,018667,014E00,017C23
0152A0,014E0A	0152A0,014E0A
0152AD,0196CD	0190B5,0196CD
0152D8,014E82	016221,014E82
0152E4,016734	0152E4,016A38
015323,017F3D	015323,017835
015341,015929	015341,015929
015343,01939A	015343,019318
015352,016089	017AA3,017AB8
015352,018349	01637D,018349
015353,017D04,0198A8,0159FF	017DBD,017D04,0198A8,0159FF
0153CD,016734,016B78,01771F	0153CD,01749E,016B78,01771F
0153E4,016734	0153E4,016A38
0153FC,0164FE	0153E8,0164FE
0153FC,0196E3	015201,0196E3
015403,018336	0155AB,018336
01540C,014EC7,016575,016168	01540C,014EC7,016575,01613E
01541B,015B50,01597D,016C42	01541B,015B50,01597D,019011
01544A,0150E5	01544A,019952
015495,018001,018089	015495,0154BE,018089
0154A8,015546	018AEE,015546
0154A8,018A62	018AEE,018A62
0154A8,018ACF	018AEE,018ACF
0154A8,018B00	018AEE,018B00
0154A8,018B70	018AEE,018B70
0154C1,015617	0154C1,015690
015546,0192EA	015546,018216
015591,01555E	017616,01555E
0155A7,0167D3	016E32,0167D3
015629,01773E,0153D6,015BF5	018B41,01773E,0153D6,015BF5
01562E,0153FC	01562E,0153E8
015639,014EAE	015639,0155A8
015653,01550F	016B54,016B37
01566A,0152D5	018B5F,0152D5
01566A,018A50	018B5F,018A50
0156B4,018907	0156B4,015FA9
0156DB,01500B	0156DB,01500B
0156DB,015929	0156DB,015929
0156F9,01570D	0156F9,015709
01570B,015BB6	01570B,015BB6
015713,01690E	015713,019310
015718,015B50	017CF0,015B50
015718,017C89	017CF0,017C89
015747,016CBE	015747,019711
01574E,019802	015D01,019802
015766,018B77	018892,018B77
01578B,0172C0	015F62,0172C0
015831,019053	015831,015C0E
01589C,0180CE	0158AE,0180CE
0158D1,017136	018C41,017136
015916,015FA1,015F37,016575	015916,0179A6,015F37,016575
015920,014E0D,018457	016406,014E0D,018457
015920,016028	016406,016028
015929,014F51	015929,017950
01593E,018863	0188CC,018863
01593E,018956	0188CC,018956
015955,0168CB	015F08,0168CB
015967,0165AF,015361	015967,0165AF,015361
015982,015750,0191DD,016BEF	015982,015750,0191DD,016C08
0159D1,018CA0	018F9C,018CA0
0159E3,016F54	01768E,016F54
015A09,014EAD	015A09,015A77
015A40,01632A	015A40,015A1C
015B0C,0163C9,019020,014F5C	0177EF,0163C9,019020,014F5C
015B50,01937E	015B50,019418
015B71,0196DC	017FBC,0196DC
015B85,015F1F	015B85,017B2C
015B85,017D2B	01597C,017D2B
015B88,015FA1	015B88,0179A6
015B8F,0157FA	015B8F,017881
015BC2,01804A	015BC2,015BE5
015BD2,015009	015BD2,015096
015BD2,0155A7	015BD2,016684
015C0B,019EBB	018541,019EBB
015C4D,014F4D	015C38,014F4D
015C4D,01797F	015C38,01797F
015C71,016DAF	015C71,015D16
015CF6,017149	015CF6,01934A
015D47,019996	017A3D,019996
015DE1,016208	015DE1,015F0B
015DF4,01897F	015DF4,01897F
015E2D,015B50	0184C6,015B50
015E3D,0174D4	015E3D,017E93
015E61,019593	0158A6,019593
015E8A,015E2D	015E8A,0184C6
015E8A,017B2C	015E8A,017B2B
015E97,0192EA	015E97,018216
015F1B,019A01	0199B3,019A01
015F37,015FA1	015F37,0179A6
015F37,01754C	017586,01754C
015F4C,015C71,01904D,0191CE	017030,015C71,01904D,0191CE
015F4C,015F4C	017030,017030
015F4C,016563	017030,016563
015F4C,016F2B	017030,016F2B
015F7C,015F7C,017686,01662F	016BD4,016BD4,017686,01662F
015F92,015CED	019661,015CED
015F9C,0182E5	015018,0182E5
015FA1,014FAE	0179A6,014FAE
015FA1,015BC7	0179A6,015BC7
015FA1,015BD2	0179A6,015BD2
015FA1,016575	0179A6,016575
015FA8,016050	0160F6,016050
015FBD,0183CC	019EF4,0183CC
015FC3,019AD2	015FC3,0181DF
016065,01596A	01892B,01596A
01606D,019022	018EAC,019022
0160B2,01621A	0160B2,01617C
0160B2,016CEF	0160B2,0161AB
0160E1,015FC3	015641,015FC3
01610F,018208,0195CC,0159CD	01610F,018208,0195CC,0173CA
01611B,015C4B,0153CA,019CE5	01611B,015C4B,0153CA,0170CF
01618B,018173	018E69,018173
016194,017601	016194,0160B4
0161C8,018FE8	0161C8,016020
01620A,01620D	01620A,01620C
01620A,01885B	01620C,01885B
01621A,0155DF	01617C,0155DF
01621A,016182	01617C,016182
01621A,01621A	01617C,01617C
01621A,017136	01617C,017136
01621A,01984F	01617C,01984F
016247,0152D5	016427,0152D5
016247,018033,015149	016427,018033,015149
016247,01958B	016427,01958B
016247,0198A8	016427,0198A8
01624B,017149	01624B,01934A
