018BAC	016258
0167B1	0153F0
01774F	0156F0
015538	015FF5
01934A	0170BC
015F37	015F3A
018987	019738
016442	016444
01713C	0170E7
019855	01663E
01967A	019669
0159B3	014F60
017232	014E3A
0193B2	01954B
01642F	01638F
018812	018327
017D78	018327
018B8B	018A5F
019F92	019F99
018DAE	018E81
018B2A	015546
017C30	017B84
0195B7	016740
0195C0	0154C4
0195BF	01960C
0195C5	01960C
0195B5	018E8F
018F37	018F70
019B66	019CA8
018AD9	018BDD
0161B3	015FD0
0198F9	019971
017D7C	017EBC
014EDA	014ED9
017E48	017E66
0162CB	01629B
014E9E	014E9A
0191C6	018FA8
018FF1	018FE4
018ECA	018F66
018C9D	018D1D
01898B	0189C1
014E99	014E98
019F14	019F13
019EA9	019EB8
019EAA	019762
019EA2	017F9A
019C7B	019C9C
019C35	019CD8
019C1F	019CD1
019BC7	019CA9
019BCB	019CA8
019BC2	017A23
019BC0	019CA7
019BDB	019CB7
019B72	019C88
019B02	019B13
019AEA	0153D1
019AE4	019AF9
019AE9	019B13
019AE0	019AE1
019AE8	019AE1
019AE5	019AEF
019A3E	019AA1
019A58	019AA1
019A51	019A9D
019A3B	019AA6
019A57	019A8C
0199DE	019A7C
0176B0	0175B1
0199F5	019A9D
0199E6	01817E
0199E0	019A9D
019A45	019A71
01995D	01998D
01995A	019900
01941D	019562
0193BF	01954E
019307	01952B
019369	019518
019427	01950F
019417	01950F
019426	01950E
0192F6	01950D
019904	019978
0198FB	01992E
0198EA	01996A
019901	01996A
0198F8	019955
0198F1	019910
0198F2	01996E
0198EE	01996E
0198F0	01996D
0198E6	019958
0198FC	019972
01994A	019993
01985A	0198A0
019854	01989C
018CF4	018D56
019809	019890
0197FC	0197F8
0197F2	019F51
0197EF	0197F1
0197EE	0197ED
0197E4	01889C
01979B	01742B
01978C	01978D
019775	017EBD
01971B	017075
01971A	0196FE
019717	0196F6
01970A	017075
0196FC	015B95
019130	0190BB
019670	019634
019682	019634
01967F	0172ED
01967B	015819
019679	015347
019666	015C9B
019665	019677
0195C1	018912
0195B8	0158F8
0195B2	019605
0195C3	019612
0195B4	019612
0195B3	019610
019484	019567
01947B	01897B
01947D	0194BB
01979D	017EF1
019424	019F0E
01941A	0194D4
0193C6	017F50
0193BD	01950B
0193BC	017F45
0193C1	019501
0193BB	019501
01942B	01954C
0193B8	01954C
0193AD	019547
018F44	018F96
01936B	019539
019368	016223
0192F5	0194E5
0192F3	0194F8
0192ED	019510
01929E	0194A7
019292	019498
0191E4	019490
01928F	019490
019962	019995
019244	0194C1
0191E1	0191DC
0191BF	0191BE
018A76	01916C
01913D	015EDB
01913C	019142
019137	019146
019125	019121
019013	019012
018FCF	018FBE
019008	018FE5
018FEF	019003
018FCA	015E01
018F3C	018F92
018EDF	018F6F
018F2D	018F6F
018EC6	014F53
018EC4	01804C
018EC3	014EB8
018E6E	018DF9
018E4F	018E44
018E46	01817F
01811B	0180EB
018DA6	018D91
018CAD	018D28
018C9B	01737E
018C8E	01730A
018B9B	015453
018B8E	014EC7
018B90	014EC7
018B8F	018B86
018B8D	018C14
018B3F	015632
018AD0	016106
018A64	018C0E
01899A	0189C9
01898C	0189C2
018989	017F81
01897D	018955
01877F	018747
0185F4	018574
0185F3	017A3F
0185EE	016A35
0185E7	0185E8
01856F	0185A9
01855A	01843C
018646	0185DF
0184ED	015EB5
0184E4	0183F1
0184E1	0153C2
0184DE	01840F
0184DA	0184E8
0184F4	0183BC
0183E6	0182B9
0183D3	01679C
018330	018438
018318	018354
018310	018471
018265	01696B
018262	016A2F
018241	019020
018133	018111
018117	01543B
01807C	01542C
018074	01542C
01806E	018054
01806B	018054
018068	018054
018061	01806A
017F4E	01575B
017F47	016A3D
017F46	017F50
017F41	017F38
017F3C	017F3A
017F3B	017F36
017F37	015378
017E5B	017EF0
017E4D	017EE3
017E4B	017CFB
017E4A	017EA4
017DEA	017E06
017DEB	01603B
017DE5	018913
017DDC	017EF5
017DE1	017F17
017E43	017EF7
017D98	017F1D
017D95	017EC7
017D89	017EE3
017D1D	017EB4
017D2D	017D18
017D2E	01624E
017D25	01624E
017CA7	015986
017CA6	0178F7
017C9B	018083
017C9A	019ED0
017C8E	017C73
019C27	0185E4
017BB2	017B45
017BB0	017B4D
017B9A	015284
017B92	015E1A
017C39	017B5C
017B1F	017B8D
017AFE	017BEA
017AFC	017BF7
017AF5	016B6A
017AF8	017ADE
017A9A	015BAC
017A82	017262
017A7D	019631
017A6F	017A51
017A6A	0179F0
017A6D	017A06
0179F4	018020
0198EB	01996B
017A09	017CB3
017987	01891A
017976	017998
017D91	016346
017975	016346
01796C	017957
017908	015760
017906	017877
017900	016DA7
0178F8	017887
0178F5	016DA7
017876	01789C
017872	015CEA
017904	01785A
01785C	017841
0177C1	017785
0176A3	016654
0176A2	016653
0176A1	01769E
0176A5	01769E
0176C1	0176C8
0176BC	019F13
0176B8	0176B2
0176B9	0176B2
0176B7	019F13
0176B6	019F47
0176B3	016BEC
0176A9	01769D
0176A8	01661F
017644	016194
01763B	017618
01763A	017618
017636	0155FD
01762C	0180C0
017614	0182E6
017585	017586
017582	0153E0
017573	0153E0
017567	017565
017F3E	0174F6
0174CC	017470
0174C9	0174D2
0174C8	017483
017460	017409
0173CE	0173CD
017472	0173B1
017452	01739A
01736E	0172DD
01704E	016EDF
01702C	016FD1
016F5B	016F5C
016F4A	016E86
016F45	01704C
016F44	016F31
016E50	016D26
016D1C	016D1B
016CF4	0176E5
016BB1	016B7C
016BAC	016581
016AC9	016A71
016AC8	0151F3
016AC4	01693F
016AC1	016993
016AC0	0168CB
016AB1	0168CB
016AAA	01680E
0169E1	016851
0169DE	01680A
0169D8	016837
0169D5	01684C
0169D7	016865
0169D6	016A50
0169D2	016149
0169C8	018028
0169C7	0169D9
0169C0	0169C1
0169D1	016885
01724B	017B3A
0168CA	0168CB
0168C5	0167C4
0168C3	0168A8
016AAE	0168BC
0168B9	0169DF
0167AC	016834
0167A6	01680C
0167A4	016755
0167A0	016866
01678F	016960
016780	01677E
016681	016653
016673	016670
016669	01665A
016663	016662
01654E	016559
01654D	0153D9
016542	0153E9
016528	016432
01652C	0163FD
016449	01641C
01643C	0162F3
01630A	015F04
016305	016306
0162EA	018FC1
0162E1	016269
0162E0	01636E
0162DE	0162B5
0162DD	0162DC
0162D5	0162D6
0161BB	015766
0161A6	0161A5
01619E	01619D
01619C	0160F0
016197	01616D
016196	01616D
0160AE	018BEF
0160AA	016076
0160A9	01607C
0160B3	015FB7
01609E	0160AE
016093	014F23
016091	016016
01608B	01541D
0160A4	015306
015F3E	015F39
015F3B	015F3C
015E2C	0188D9
015E12	01888B
015E0B	017EB8
