#source http://tongwen.openfoundry.org/src/tongwen_table/phrase_t2s.txt
014E13,017740	014E13,018457
014EB2,017740	014EB2,018457
015353,017740	015353,018457
01539F,017740	01539F,018457
0153D1,017740	0153D1,018457
015408,017740	015408,018457
01540D,017740	01540D,018457
015410,017740	015410,018457
01571F,017740	01571F,018457
015927,017740	015927,018457
015DE8,017740	015DE8,018457
015E72,0165E6	014E7E,0165E6
015E72,014E1D	014E7E,014E1D
015E72,014E7E	015EB7,014E7E
015E72,015143	014E7E,015143
015E72,015366	014E7E,015366
015E72,0153BF	014E7E,0153BF
015E72,0156FE	014E7E,0156FE
015E72,015716	014E7E,0156FE
015E72,015764	014E7E,015764
015E72,015B85	014E7E,015B85
015E72,0165AD	014E7E,0165AD
015E72,0166DC	014E7E,0166DC
015E72,016E05,015BAE	014E7E,016E05,015BAB
015E72,0176DB,014E16	014E7E,0176DB,014E16
015E72,017740	015E72,017740
015E72,017740,016025	014E7E,017740,016025
015E72,017D05	014E7E,017EA2
015E72,017DB1	014E7E,017EB2
015E72,017EA2	014E7E,017D05
015E72,017EB2	014E7E,017EB2
015E72,018C61	014E7E,018C61
015E72,019675	014E7E,019675
015E72,019686	014E7E,019686
015E72,019686	014E7E,019686
015F35,016CD5,015E72	015F20,016CD5,014E7E
015F70,01660E,018F83,017740	015F70,01660E,018F83,018457
016240,017740	016240,018457
016240,017740,01624B	016240,017740,01624B
016279,017740	016279,018457
0164B0,017740	0164B0,018457
0165B0,017740	0165B0,018457
0165E7,017740	0165E7,018457
01662D,017740	01662D,018457
01662D,017740	01662D,018457
01663E,017740	01663E,018457
01663E,017740,016027	01663E,018457,016027
016D0B,016CFE	016D0B,016CFE
016D0B,016CFE,016EE8	016D0B,016CFE,016D5C
017740,014E66	018457,014E66
017740,014F5C	018457,014F5C
017740,01540D	018457,01540D
017740,015EB8	018457,015EB8
017740,015F55	018457,015F55
017740,01660E	018457,01660E
017740,016709	018457,016709
017740,016BCB	017740,016BCB
017740,016BCB,015EB8,018BAE	018457,016BCB,015EB8,018BAE
017740,0179F0	018457,0179F0
017740,017C4D	018457,017C4D
017740,017EE9	018457,017EE9
017740,018005	018457,018005
017740,018FF0	018457,018FF0
017740,018FF7	017740,018FF7
017EA8,0188E4	017EA8,017ED4
017EA8,0188E4,015B50,015F1F	017EA8,017ED4,015B50,015F1F
017EEE,018966	017EEE,018966
017EEE,018966,017EA8,0188E4	017EEE,018966,017EA8,017ED4
017F16,017740	017F16,018457
018427,015E72	018427,014E7E
01856D,015E72	018427,014E7E
0188E4,014E0B	0188E4,014E0B
0188E4,014E0B,014E4B,018FB1	017ED4,014E0B,014E4B,018FB1
0189C1,015FAE	0189C1,015FAE
0189C1,015FAE,0177E5,017740	0189C1,015FAE,0177E5,018457
018BA1,01753B	018BA1,015212
018BBA,017740	018BBA,018457
018BD1,017740	018BD1,018457
018C61,015F81	018C61,015F81
018C61,015F81,017740	018C61,015FB5,017740
019057,017740	019057,018457
0190ED,015B50,015E72	0190ED,015B50,014E7E
019887,017740	019887,018457
019C87,019C7C	019CB6,019C7C
