#source http://tongwen.openfoundry.org/src/tongwen_table/word_t2s.txt
01AF	0102C9
012025	01A8
012027	01B7
012035	01FF40
012252	012248
012266	012264
012267	012265
012571	01FF0F
012572	01FF3C
012574	01FF3F
01300C	01201C
01300D	01201D
01300E	012018
01300F	012019
013473	013447
01361A	01360E
01396E	013918
013A73	0139D0
0143B1	0143AC
014661	01464C
01477C	01478D
014947	014982
01499B	0149B6
01499F	0149B7
014C77	014CA3
014E1F	014E22
014E26	015E76
014E3C	014E95
014E7E	015E72
014E82	014E71
014E99	014E98
014E9E	014E9A
014F15	01592B
014F47	014F2B
014F48	015E03
014F54	015360
014F6A	015F8A
014F75	015E76
014F86	016765
014F96	014ED1
014F9A	015F87
014FB6	014FA3
014FB7	015C40
014FC1	014FE3
014FC2	017CFB
014FE0	014FA0
015000	014F25
015006	014FE9
015009	014ED3
01500B	014E2A
015011	014EEC
015016	015E78
015023	014EFF
01502B	014F26
015049	014F1F
01506A	01903C
015074	014FA7
015075	014FA6
01507A	0154B1
01507D	014F2A
015091	016770
015096	014F27
015098	014F1E
015099	015907
01509A	016548
0150A2	015BB6
0150AD	014F63
0150AF	01506C
0150B3	014F20
0150B4	014F1B
0150B5	01503A
0150B7	014F24
0150BE	01503E
0150C2	01507B
0150C5	014EC5
0150C9	014F65
0150CA	014ED9
0150D1	014FA8
0150D5	014EC6
0150DE	014F2A
0150E3	0150ED
0150E5	014FA5
0150E8	01507E
0150F1	0196C7
0150F9	014EF7
015100	014EEA
015102	014FAC
015104	014EBF
015105	015F53
015108	014FA9
015109	014FED
015110	0150A7
015114	014FE6
015115	014FAA
015118	015C3D
01511F	01507F
01512A	014F18
015132	0150A8
015137	014FEA
015138	017F57
01513A	0150A9
01513B	0150A5
01513C	014FE8
015147	0151F6
01514C	015151
015152	01513F
015157	015156
015167	015185
015169	014E24
01518A	01518C
015191	0180C4
0151AA	015E42
0151C5	016DB8
0151C8	0151C0
0151CD	0151BB
0151DC	0151DB
0151F1	0151EF
015225	01522B
01522A	015220
015244	01522D
015247	015219
015249	019509
01524B	01514B
01524E	015239
015257	01522C
01525B	01521A
01525D	015265
01526E	015250
015274	015240
015275	01521B
015277	0194F2
015283	015212
015284	01672D
015287	015267
015289	015218
01528A	01523D
01528C	01523F
01528D	015251
015291	015242
0152BB	015321
0152C1	0152B2
0152D5	0152A8
0152D7	0152D6
0152D9	0152A1
0152DB	0152CB
0152DD	0180DC
0152DE	0152B3
0152E2	0152BF
0152E3	017EE9
0152E6	01527F
0152E9	0152DA
0152F1	0152A2
0152F3	0152CB
0152F5	0152B1
0152F8	01529D
0152FB	015300
01530B	019676
01532D	015326
01532F	016C47
015331	01532E
015340	01533A
015344	015EFF
015354	01534F
01536C	016602
015379	016064
01537B	015374
015399	01538D
0153AD	01538C
0153B2	015389
0153B4	0153A3
0153C3	0153C2
0153E1	01777F
0153E2	014E1B
01540B	015BF8
01540E	01540E
015433	015434
015436	015450
015442	015415
01544E	015C3A
0154B7	015555
0154BC	015459
0154E1	015458
015504	015457
01551D	0155CA
015538	015FF5
01554F	0195EE
015553	01542F
015557	015556
01555E	0154D1
01555F	01542F
015562	015521
015563	018854
