#source http://tongwen.openfoundry.org/src/tongwen_table/word_t2s.txt
01B7	012027
012015	012500
012016	012225
012018	01300E
012019	01300F
01201C	01300C
01201D	01300D
012033	01301E
01220F	0103A0
012211	0103A3
012227	01FE3F
012228	01FE40
012236	01FE30
012248	012252
012264	012266
012265	012267
012501	012500
012503	012502
01250F	01250C
012513	012510
012517	012514
01251B	012518
012523	01251C
01252B	012524
012533	01252C
01253B	012534
01254B	01253C
013016	013010
013017	013011
013447	013473
01359E	01558E
01360E	01361A
013918	01396E
0139CF	016386
0139D0	013A73
0139DF	0164D3
013B4E	0168E1
013CE0	016FBE
014056	01779C
01415F	017A47
014337	017D2C
0143AC	0143B1
0143DD	01819E
0144D6	0185ED
01464C	014661
014723	018A22
014729	018B8C
01478D	01477C
01497A	0191FE
01497D	0193FA
014982	014947
014983	01942F
014985	019425
014986	019481
0149B6	01499B
0149B7	01499F
014C9F	019BA3
014CA1	019C0C
014CA2	019C27
014CA3	014C77
014D13	019CFE
014D14	019D41
014D15	019D37
014D16	019D84
014D17	019DAA
014D18	019DC9
014D19	019E0A
014DAE	019F91
014E07	01842C
014E0E	018207
014E13	015C08
014E1A	01696D
014E1B	0153E2
014E1C	016771
014E1D	017D72
014E22	014E1F
014E24	015169
014E25	0156B4
014E27	0155AA
014E2A	01500B
014E30	018C50
014E34	0181E8
014E3A	0170BA
014E3D	019E97
014E3E	018209
014E48	019EBC
014E49	017FA9
014E4C	0170CF
014E50	016A02
014E54	0155AC
014E60	017FD2
014E61	019109
014E66	0166F8
014E70	018CB7
014E71	014E82
014E89	01722D
014E8E	0165BC
014E8F	018667
014E91	0196F2
014E98	014E99
014E9A	014E9E
014EA7	017522
014EA9	01755D
014EB2	0189AA
014EB5	01893B
014EBF	015104
014EC5	0150C5
014EC6	0150D5
014ECE	015F9E
014ED1	014F96
014ED3	015009
014EEA	015100
014EEC	015011
014EF7	0150F9
014F17	01773E
014F18	01512A
014F1A	016703
014F1B	0150B4
014F1E	015098
014F1F	015049
014F20	0150B3
014F24	0150B7
014F25	015000
014F26	01502B
014F27	015096
014F2A	01507D
014F2B	014F47
014F32	014F60
014F53	019AD4
014F63	0150AD
014F65	0150C9
014FA0	014FE0
014FA3	014FB6
014FA5	0150E5
014FA6	015075
014FA7	015074
014FA8	0150D1
014FA9	015108
014FAA	015115
014FAC	015102
014FE3	014FC1
014FE6	015114
014FE8	01513C
014FE9	015006
014FEA	015137
014FED	015109
01502E	0188F8
01503A	0150B5
01503E	0150BE
01506C	0150AF
01507B	0150C2
01507E	0150E8
01507F	01511F
0150A5	01513B
0150A7	015110
0150A8	015132
0150A9	01513A
01513F	015152
015151	01514C
015156	015157
01515A	019EE8
015170	01862D
015173	0195DC
015174	018208
015179	018332
01517B	01990A
01517D	017378
015181	0156C5
015185	015167
015188	015CA1
01518C	01518A
015199	015BEB
01519B	018ECD
01519C	018FB2
0151AF	0199AE
0151B2	016C96
0151B3	016C7A
0151B5	016CC1
0151BB	0151CD
0151C0	016DE8
0151C4	016DD2
0151C7	016DDE
0151C9	016DBC
0151CF	016E1B
0151D1	016E4A
0151DB	0151DC
0151E0	015E7E
0151E4	019CF3
0151E6	018655
0151EB	019CE7
0151ED	016191
0151EF	0151F1
0151FB	0164CA
0151FC	015E7D
0151FF	01947F
01520D	0182BB
015212	015283
015218	015289
015219	015247
01521A	01525B
01521B	015275
015220	01522A
01522B	015225
01522C	015257
01522D	015244
015239	01524E
01523D	01528A
01523F	01528C
015240	015274
015242	015291
015250	01526E
015251	01528D
015265	01525D
015267	015287
015273	015284
01529D	0152F8
01529E	018FA6
0152A1	0152D9
0152A2	0152F1
0152A8	0152D5
0152B1	0152F5
0152B2	0152C1
0152B3	0152DE
0152BF	0152E2
0152CB	0152F3
0152DA	0152E9
0152DB	0152F3
0152E6	01527F
015300	0152FB
015326	01532D
01532E	015331
01533A	015340
01533B	0191AB
01534E	0183EF
01534F	015354
015355	0155AE
015356	018CE3
015360	014F54
015362	0176E7
015364	019E75
015367	0181E5
01536B	01885B
015374	01537B
01537A	015DF9
015382	015EE0
015385	015EF3
015386	016B77
015389	0153B2
01538B	0158D3
01538C	0153AD
01538D	015399
015395	015EC1
015398	0191D0
0153A2	015EC2
0153A3	0153B4
0153A6	015EC8
0153A8	015EDA
0153A9	015EC4
0153AE	015EDD
0153BF	017E23
0153C1	0153C3
0153C2	0153C3
0153C6	019749
0153C7	019746
0153CC	0196D9
0153D1	01767C
0153D8	018B8A
0153D9	016558
0153E0	01758A
0153F6	018449
0153F7	01865F
0153F9	015606
0153FD	015630
015401	017C72
01540E	015F8C
015413	015687
015415	015442
015417	0155CE
015428	015678
01542C	01807D
01542F	01555F
015434	015433
015450	015436
015452	015638
015453	0156C8
015455	015614
015456	0156A6
015457	015504
015458	0154E1
015459	0154BC
01545B	0155C6
01545C	0155DA
01548F	018A60
015499	0156A8
01549B	015680
01549D	01565D
0154CC	015471
0154CD	0197FF
0154D1	01555E
0154D2	015660
0154D3	015635
0154D4	0155F6
0154D5	015666
0154D7	015629
0154D9	015672
0154DC	01568C
0154DD	015665
0154DF	0155B2
01551B	01561C
01551D	0155CA
015520	01562E
015521	015562
015522	0155E9
015524	01559A
015553	01555F
015567	015616
01556C	0155C7
01556D	0156C0
01556E	019F67
015570	0156C9
015578	01562F
0155B7	015674
0155BD	01560D
0155BE	0156B3
0155EB	0156C1
0155EC	015475
0155F3	01566F
015618	015653
015624	0156B6
015629	018B41
015631	0156D1
01565C	015695
0156A3	0156C2
0156AE	015411
0156E2	015718
0156ED	015712
0156EF	01570B
0156F1	0156EA
0156F4	01570D
0156F5	015707
0156FD	01570B
0156FE	015716
015706	015713
015723	018056
015739	0158D9
01573A	015834
015742	01962A
01574F	0158DE
015757	01584A
01575A	015805
01575B	0158C7
01575C	0158E2
01575D	0158E9
01575E	015862
01575F	0158B3
015760	01589C
015784	0158DF
015785	0158DF
015786	0158DA
015792	0158D8
0157A6	0158BE
0157A9	01580A
0157AB	01588A
0157AD	0157E1
0157B2	01584F
0157B4	015816
0157D8	015852
0157D9	0158CE
0157DA	01581D
015811	015879
015815	0158AE
015892	015891
